20001198,4.20,1.33,0.35,0.66,0.68,0.48,0.68,0.68,0.68,0.09,0.01,0.25,0.03,-0.07,0.25,6.00,6.00,6.00,0.51,0.51,4.13
20001670,0.49,1.49,1.94,0.68,0.68,0.68,0.57,0.57,0.68,0.20,0.23,0.18,0.25,0.25,0.23,6.00,6.00,6.00,1.53,2.17,0.58
20003350,1.18,2.31,0.46,0.60,0.60,0.45,0.60,0.59,0.68,-0.19,-0.18,-0.08,0.25,0.25,0.02,4.32,4.64,6.00,6.80,6.80,0.51
20006985,2.52,0.06,0.05,0.60,0.60,0.68,0.59,0.60,0.68,0.25,-0.06,0.00,-0.07,0.21,-0.02,4.88,3.77,0.50,6.78,6.80,6.80
20008010,20.05,6.56,1846.37,-0.08,0.68,-0.09,-0.08,0.68,-0.08,-0.12,-0.18,0.25,-0.11,0.25,-0.12,6.00,3.43,6.00,0.51,0.51,0.56
20008663,0.65,0.93,1.01,0.68,0.68,0.62,0.68,0.68,0.68,0.09,0.12,-0.24,0.13,0.25,-0.25,6.00,6.00,6.00,0.51,0.51,0.73
20009353,1.76,69.18,0.76,0.60,-0.08,-0.26,0.60,-0.09,-0.68,-0.11,-0.12,-0.25,-0.02,-0.25,-0.12,4.30,6.00,0.50,6.80,0.51,4.11
20009371,0.27,1.30,0.18,0.68,0.68,0.62,0.68,0.68,0.68,-0.22,-0.20,-0.25,-0.25,-0.25,-0.25,6.00,6.00,6.00,1.92,0.94,5.51
20009980,17.13,5.92,1.85,-0.09,0.60,0.59,0.09,0.62,0.68,0.11,-0.25,-0.25,-0.25,0.25,0.25,5.08,0.61,3.34,0.51,0.51,0.51
20011002,0.03,0.47,0.14,0.68,0.68,0.57,0.68,0.68,0.68,-0.25,-0.25,-0.25,0.02,0.06,0.18,0.87,1.22,6.00,0.51,0.51,1.75
20011656,8.50,3.71,4.21,0.60,0.60,-0.09,0.60,0.60,-0.09,0.25,0.25,-0.21,-0.02,0.03,-0.02,5.35,4.85,6.00,6.80,6.80,0.51
20011714,5.26,1.91,2.23,0.68,0.60,0.61,-0.68,0.60,0.68,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.50,3.72,6.00,3.23,6.80,1.24
20012163,3.81,5.41,6.26,0.68,0.68,-0.09,0.68,0.68,-0.08,0.25,0.25,0.01,-0.25,-0.25,-0.14,0.53,0.50,6.00,0.51,0.51,0.51
20012489,7.15,10.49,0.54,0.68,0.68,0.68,0.66,0.63,0.68,0.15,0.25,-0.03,-0.25,-0.25,-0.25,3.33,6.00,6.00,0.51,0.51,0.82
20012868,0.01,0.01,0.00,0.68,0.68,0.68,0.68,0.68,0.68,-0.22,-0.20,-0.20,0.25,0.25,0.25,0.50,0.50,0.50,6.80,6.80,6.80
20013117,2.47,1.80,3.33,0.68,0.68,-0.08,0.68,0.68,-0.08,-0.25,-0.03,0.25,-0.18,0.25,0.25,6.00,6.00,6.00,0.51,0.51,0.51
